079C6388  // 0.475681
07A208D4  // 0.477059
079F1DF5  // 0.476347
07964AB8  // 0.474192
078BB0E8  // 0.471604
07832B5F  // 0.469524
077F23F7  // 0.46854
07805D87  // 0.468839
07866D5F  // 0.470319
07904DFB  // 0.472731
079CA027  // 0.475739
07A9A5BF  // 0.478918
07B527D5  // 0.481727
07BCB4FC  // 0.483571
07BE6538  // 0.483983
07B9B156  // 0.482835
07B0115C  // 0.480485
07A4D013  // 0.477737
079C115D  // 0.475602
07995630  // 0.474936
079E3E42  // 0.476134
07A9FD30  // 0.479001
07B9ED04  // 0.482892
07CAA515  // 0.486974
07D920D1  // 0.49051
07E3656E  // 0.493017
07E86FC3  // 0.494247
07E7DE34  // 0.494108
07E1DC6E  // 0.492642
07D77591  // 0.490102
07CB2B64  // 0.487102
07C0F080  // 0.484604
07BD3A32  // 0.483698
07C325CD  // 0.485143
07D2B3D1  // 0.488941
07E82843  // 0.494179
07FD4E55  // 0.499342
080C152D  // 0.50295
08114F45  // 0.504226
080E18EC  // 0.503442
08071650  // 0.50173
08023052  // 0.500534
080407E6  // 0.500984
080E9635  // 0.503561
082169F4  // 0.508158
083ACD9F  // 0.514356
0858C969  // 0.521676
08794351  // 0.529605
08994F94  // 0.537429
08B4D149  // 0.544145
08C756E8  // 0.548667
08CE1F36  // 0.550323
08CA3CEB  // 0.549375
08C14A15  // 0.54719
08BBAA5F  // 0.545817
08C0E891  // 0.547097
08D3F395  // 0.551746
08F13CBE  // 0.558896
090FED12  // 0.566388
09258E5A  // 0.571669
092A49BF  // 0.572824
091BA8B3  // 0.569253
08FCD623  // 0.561728
08D497E1  // 0.551903
08AAB45F  // 0.541676
0885FEAC  // 0.532714
086BA94A  // 0.526284
085F48DE  // 0.523263
0862A8E3  // 0.524087
0874DF41  // 0.528533
08912C16  // 0.535442
08AEC5C6  // 0.542669
08C2851D  // 0.54749
08C239FB  // 0.547419
08A87F56  // 0.541137
0876FEA2  // 0.529051
0836047D  // 0.513188
07F15F36  // 0.496429
07B40672  // 0.481451
0784A444  // 0.469883
076481D2  // 0.462038
0750DDD9  // 0.457243
074597B7  // 0.45449
073F5EC9  // 0.452971
073C47DA  // 0.452217
073AF06C  // 0.451889
07392CB3  // 0.451459
0733A941  // 0.450113
072715C5  // 0.447042
07123D32  // 0.441953
06F79E1B  // 0.435454
06DD4515  // 0.429021
06CA8E70  // 0.424452
06C4DC2D  // 0.423062
06CCEB13  // 0.425029
06DE674D  // 0.429298
06F1E99D  // 0.434061
070059A8  // 0.437586
0705E5DB  // 0.43894
0702FCF4  // 0.43823
06FB1753  // 0.436302
06F25267  // 0.434161
06EB7692  // 0.432486
06E78E79  // 0.431532
06E6F12B  // 0.431382
06EA918F  // 0.432268
06F44867  // 0.434639
07058B70  // 0.438854
071D656B  // 0.444677
07372D93  // 0.450971
074B40A4  // 0.455872
07519EDA  // 0.457427
07453A66  // 0.454401
07266562  // 0.446874
06FB7B5C  // 0.436397
06D04FB4  // 0.425857
06B520F1  // 0.419221
06BD7F7B  // 0.421264
06FDDF6D  // 0.436981
07866590  // 0.470312
085ABDE9  // 0.522154
096A0B23  // 0.58839
0A8C750A  // 0.659291
0B8B977C  // 0.72158
0C36192F  // 0.763208
0C777B52  // 0.77917
0C67F1C9  // 0.775377
0C48A079  // 0.767731
0C6932B1  // 0.775683
0CFFC7D9  // 0.812446
0E06336F  // 0.876514
0F2FB669  // 0.949149
10000000  // 1
0FFBC8DD  // 0.998971
0EDD5F94  // 0.929046
0CB45399  // 0.794025
09E1406D  // 0.617493
06F03549  // 0.433645
04646678  // 0.274512
028D3786  // 0.159477
01763DAE  // 0.0913674
00F4A1A6  // 0.0597245
00C66A06  // 0.048441
00B1EC20  // 0.0434381
00978F15  // 0.0370017
0071F1F1  // 0.0278186
004A4B73  // 0.0181384
002AD072  // 0.0104527
0016F28E  // 0.00560241
000B87FD  // 0.00281524
0003FB4C  // 0.000972077
00000000  // 0
00065EAA  // 0.00155512
002409BB  // 0.00879834
00684A6C  // 0.0254616
00DF8134  // 0.0545666
018DD5FC  // 0.0971279
026B80F5  // 0.151246
0364234E  // 0.211948
045A7BA8  // 0.272091
053022B1  // 0.324252
05CEB074  // 0.362961
062E9C2A  // 0.386379
0658A333  // 0.39664
0660EC8D  // 0.398663
065E758A  // 0.398061
0662AF27  // 0.399093
067513B1  // 0.403583
06939201  // 0.411028
06B67D2C  // 0.419553
06D52FD8  // 0.427048
06E941C2  // 0.431947
06EFB569  // 0.433523
06E8F654  // 0.431876
06D863F2  // 0.42783
06C3C222  // 0.422793
06B1FA65  // 0.418452
06A90D5D  // 0.416273
06ABAB2E  // 0.416911
06B7C29A  // 0.419863
06C71F4C  // 0.423614
06D21E8C  // 0.426299
06D30FAF  // 0.426529
06C87F32  // 0.423949
06B53FCD  // 0.41925
069E5BBC  // 0.413662
06886F71  // 0.408309
0675F981  // 0.403802
06675041  // 0.400223
065BB9DA  // 0.397394
06529670  // 0.395163
064BAF04  // 0.393477
0646A814  // 0.39225
064247B8  // 0.391182
063C546F  // 0.389729
06323B05  // 0.387263
06223C0D  // 0.383358
060C4FC4  // 0.378006
05F25294  // 0.371661
05D77B19  // 0.365108
05BF64FE  // 0.359227
05AD0A84  // 0.354746
05A20B09  // 0.352061
059E3103  // 0.351121
059F621C  // 0.351412
05A210C8  // 0.352067
05A221EF  // 0.352083
059C2130  // 0.350618
058E4CC5  // 0.347241
05791FED  // 0.342071
055F2CFA  // 0.335736
05446771  // 0.3292
052D3588  // 0.323537
051D8039  // 0.319702
0517D785  // 0.318321
051C9E54  // 0.319487
05299EF0  // 0.322661
053A3FBC  // 0.326721
0548C6BE  // 0.330268
05508026  // 0.332153
054FDB39  // 0.331996
05495A33  // 0.330408
0542AB5E  // 0.328777
054218FC  // 0.328637
054BAC88  // 0.330975
055FA7F2  // 0.335854
057B1D2B  // 0.342557
059A3C94  // 0.350155
05BAAABB  // 0.358073
05DC7657  // 0.366324
0600FC68  // 0.375241
0628BFD9  // 0.384949
0651D20B  // 0.394976
06782461  // 0.404332
0697A6F7  // 0.412024
06AEDB33  // 0.41769
06C0130C  // 0.421893
06D07AC5  // 0.425898
06E55290  // 0.430987
070112DE  // 0.437762
